Iteration,loss_train,metrics_train,loss_dev,metrics_dev,loss_test,metrics_test
0,0.013973091,0.121313535,0.021085484,0.153080225,0.02045113,0.1530049
1,0.011249801,0.105351999,0.024083052,0.165534168,0.020438509,0.151502386
2,0.014018459,0.121874742,0.02191335,0.155529752,0.021081483,0.152664274
3,0.012421506,0.112597845,0.021572731,0.154412642,0.021151101,0.150481269
4,0.011962694,0.109271847,0.020605003,0.148852035,0.021015164,0.166626632
5,0.013816362,0.120737784,0.021550564,0.155615151,0.0186154,0.146003455
6,0.014938476,0.127234414,0.024377745,0.165149733,0.020752305,0.155692115
7,0.012454376,0.112650186,0.022072488,0.154557556,0.020439275,0.149971008
8,0.014058514,0.121473029,0.021589698,0.154540583,0.022131743,0.172628209
9,0.011205201,0.105522178,0.024650756,0.165090933,0.025670096,0.162109628
,0.013009848,0.115802756,0.022350087,0.157236278,0.021174621,0.156068388
,0.001313208,0.007689809,0.001458374,0.005856594,0.00181028,0.008392195
